epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5473,1.32752,2.17866,1.65353,0.3648,0.46998,0.40925,0.17726,1.89854,3.04275,2.86312,0.000542437,0.000542437,0.000542437
2,32.2871,1.31243,1.48178,1.61763,0.07081,0.07484,0.02147,0.00696,3.62068,3.17048,6.63276,0.00108723,0.00108723,0.00108723
3,48.9855,1.38241,1.55772,1.67174,0.18259,0.26812,0.09775,0.02298,2.96788,23.5386,4.27199,0.00162103,0.00162103,0.00162103
4,63.9881,1.40867,1.56256,1.68277,0.2896,0.35107,0.2407,0.07855,2.25343,6.58035,2.85852,0.00161749,0.00161749,0.00161749
5,78.7706,1.36371,1.48969,1.64955,0.14883,0.39135,0.14564,0.04597,2.32564,5.40618,2.88677,0.00160099,0.00160099,0.00160099
6,93.5794,1.29631,1.42123,1.59889,0.2017,0.28644,0.12496,0.03964,2.40266,4.14016,2.69222,0.00158448,0.00158448,0.00158448
7,108.243,1.25302,1.34915,1.57287,0.51767,0.50726,0.45336,0.21257,1.78581,2.83217,2.34387,0.00156798,0.00156798,0.00156798
8,123.044,1.24886,1.31878,1.57195,0.68804,0.58085,0.62286,0.30497,1.69847,1.64268,2.03512,0.00155148,0.00155148,0.00155148
9,138.114,1.20857,1.25759,1.53833,0.45932,0.56584,0.46452,0.19791,1.77107,2.24401,2.04261,0.00153497,0.00153497,0.00153497
10,152.811,1.1777,1.242,1.51282,0.60428,0.59407,0.57026,0.27855,1.58316,1.7769,1.90073,0.00151847,0.00151847,0.00151847
11,167.618,1.15723,1.22065,1.49115,0.59329,0.56226,0.55391,0.26838,1.67121,2.11559,2.08973,0.00150197,0.00150197,0.00150197
12,182.484,1.14133,1.20214,1.48719,0.65656,0.62139,0.65642,0.35071,1.52519,1.45546,1.87613,0.00148546,0.00148546,0.00148546
13,197.416,1.12528,1.17955,1.48301,0.64357,0.61618,0.5962,0.31914,1.54716,1.99499,1.9015,0.00146896,0.00146896,0.00146896
14,212.13,1.10843,1.16009,1.46839,0.68978,0.64674,0.68218,0.38259,1.52433,1.39543,1.8704,0.00145246,0.00145246,0.00145246
15,227.008,1.10754,1.16989,1.46084,0.7021,0.67582,0.71115,0.39324,1.41056,1.42492,1.73793,0.00143595,0.00143595,0.00143595
16,241.882,1.08536,1.13002,1.44955,0.78942,0.66031,0.74133,0.42562,1.39596,1.27792,1.74781,0.00141945,0.00141945,0.00141945
