epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0806,1.61167,2.00254,1.83492,0.25084,0.57792,0.26137,0.10782,1.9751,3.02066,3.24912,0.000542437,0.000542437,0.000542437
2,35.301,1.38745,1.48519,1.63952,0.04652,0.18089,0.01733,0.00496,3.24398,9.21103,5.41972,0.00108723,0.00108723,0.00108723
3,51.2585,1.426,1.56893,1.68606,0.10624,0.03445,0.01151,0.00251,nan,nan,nan,0.00162103,0.00162103,0.00162103
4,67.2938,1.44322,1.55799,1.69598,0.1692,0.12527,0.06161,0.02094,3.15902,8.34562,3.26901,0.00161749,0.00161749,0.00161749
5,83.4798,1.37159,1.48859,1.63523,0.24079,0.37657,0.1839,0.0553,2.51986,3.10094,2.9349,0.00160099,0.00160099,0.00160099
6,99.9378,1.31347,1.39301,1.60083,0.50138,0.53028,0.45187,0.19371,1.78177,3.29216,2.19672,0.00158448,0.00158448,0.00158448
7,116.204,1.27831,1.35016,1.58079,0.54568,0.53205,0.51829,0.25288,1.58922,3.40676,1.99053,0.00156798,0.00156798,0.00156798
8,132.536,1.25086,1.2875,1.54744,0.56639,0.57585,0.56242,0.28985,1.61003,1.80418,1.95732,0.00155148,0.00155148,0.00155148
9,148.666,1.20884,1.26109,1.52505,0.68956,0.56478,0.61532,0.28677,1.71847,1.75243,2.02195,0.00153497,0.00153497,0.00153497
10,164.807,1.19406,1.24195,1.51116,0.58261,0.5855,0.58414,0.31923,1.52981,1.91519,1.86343,0.00151847,0.00151847,0.00151847
11,181.194,1.17257,1.21561,1.48981,0.62824,0.62157,0.63329,0.33229,1.54835,1.623,1.85352,0.00150197,0.00150197,0.00150197
12,197.383,1.1568,1.18696,1.483,0.63094,0.64592,0.6652,0.36792,1.46516,1.56255,1.79678,0.00148546,0.00148546,0.00148546
13,213.549,1.15422,1.17315,1.48683,0.51121,0.49104,0.4667,0.20522,1.79467,1.88244,2.0532,0.00146896,0.00146896,0.00146896
14,229.548,1.13383,1.16881,1.47129,0.68866,0.60122,0.6232,0.32537,1.6345,1.51804,1.96896,0.00145246,0.00145246,0.00145246
15,245.517,1.10945,1.14302,1.44929,0.74637,0.69348,0.75126,0.41957,1.42393,1.27785,1.71583,0.00143595,0.00143595,0.00143595
16,261.796,1.1096,1.13486,1.44959,0.66219,0.63428,0.66621,0.36478,1.48272,1.44569,1.77347,0.00141945,0.00141945,0.00141945
17,277.785,1.09444,1.11437,1.44704,0.67946,0.63377,0.67407,0.38894,1.43186,1.53354,1.79742,0.00140295,0.00140295,0.00140295
18,293.775,1.10646,1.10572,1.44346,0.70371,0.6773,0.70295,0.38302,1.43308,1.35242,1.83442,0.00138644,0.00138644,0.00138644
19,309.616,1.08469,1.07737,1.43094,0.72213,0.64803,0.7082,0.41166,1.35063,1.51338,1.67418,0.00136994,0.00136994,0.00136994
20,325.461,1.08527,1.07182,1.42874,0.74305,0.74857,0.78779,0.48689,1.25523,1.14521,1.57476,0.00135344,0.00135344,0.00135344
21,341.776,1.05635,1.05618,1.41001,0.77395,0.6834,0.75916,0.4456,1.33453,1.19217,1.6304,0.00133693,0.00133693,0.00133693
22,357.764,1.054,1.02759,1.40549,0.79601,0.743,0.80337,0.49256,1.29608,1.12692,1.60674,0.00132043,0.00132043,0.00132043
23,373.832,1.05475,1.03858,1.40031,0.76044,0.73023,0.77667,0.48155,1.28397,1.15758,1.59494,0.00130393,0.00130393,0.00130393
24,389.963,1.0556,1.04442,1.40682,0.65662,0.71826,0.72667,0.4343,1.31512,1.3617,1.67127,0.00128742,0.00128742,0.00128742
25,405.913,1.04321,1.03335,1.39645,0.67704,0.68015,0.71844,0.41421,1.39311,1.43112,1.70366,0.00127092,0.00127092,0.00127092
26,421.78,1.03572,1.00555,1.39053,0.74224,0.73919,0.7788,0.48519,1.26164,1.17494,1.5918,0.00125442,0.00125442,0.00125442
27,437.6,1.00691,1.00491,1.37312,0.75187,0.7178,0.76715,0.47926,1.24081,1.19102,1.55229,0.00123791,0.00123791,0.00123791
28,453.514,1.02376,0.99234,1.38074,0.71388,0.72339,0.74549,0.46371,1.2213,1.31051,1.53334,0.00122141,0.00122141,0.00122141
29,469.568,1.01248,0.97065,1.37825,0.76547,0.73907,0.81291,0.50816,1.23968,1.09837,1.51605,0.00120491,0.00120491,0.00120491
30,485.605,0.9985,0.98924,1.36784,0.80462,0.74909,0.81272,0.50396,1.24732,1.05813,1.5473,0.0011884,0.0011884,0.0011884
31,501.807,1.00736,0.98014,1.37415,0.80911,0.75472,0.78631,0.49918,1.2541,1.07436,1.56828,0.0011719,0.0011719,0.0011719
32,518.052,0.9803,0.95803,1.35393,0.79184,0.75032,0.8187,0.51734,1.24928,1.06527,1.5189,0.0011554,0.0011554,0.0011554
33,534.287,0.99077,0.9498,1.35789,0.83986,0.72134,0.80441,0.5062,1.19861,1.08897,1.51102,0.00113889,0.00113889,0.00113889
34,550.478,0.97603,0.93794,1.3558,0.77113,0.73048,0.78096,0.48545,1.21424,1.1842,1.52984,0.00112239,0.00112239,0.00112239
35,566.439,0.97029,0.94862,1.33712,0.79554,0.77499,0.81694,0.52942,1.18635,0.9771,1.50046,0.00110589,0.00110589,0.00110589
36,582.644,0.96373,0.93077,1.35321,0.69088,0.74858,0.73445,0.45648,1.20885,1.24073,1.52996,0.00108938,0.00108938,0.00108938
37,598.715,0.95541,0.93135,1.32931,0.80356,0.76041,0.81676,0.53624,1.14206,1.00384,1.46592,0.00107288,0.00107288,0.00107288
38,614.728,0.97356,0.93961,1.35628,0.78935,0.73308,0.80795,0.52854,1.17978,1.08292,1.51268,0.00105638,0.00105638,0.00105638
39,630.816,0.9462,0.90197,1.33004,0.80221,0.76368,0.82902,0.54178,1.18414,0.99769,1.49493,0.00103987,0.00103987,0.00103987
40,646.802,0.95042,0.90757,1.33062,0.80671,0.78455,0.83942,0.55842,1.16677,0.93289,1.4771,0.00102337,0.00102337,0.00102337
41,662.847,0.92841,0.89949,1.32648,0.85796,0.78539,0.85331,0.55439,1.17952,0.97144,1.47526,0.00100687,0.00100687,0.00100687
42,679.071,0.93058,0.87872,1.31488,0.81844,0.77531,0.83563,0.55716,1.15665,0.93785,1.46116,0.000990365,0.000990365,0.000990365
43,695.153,0.93806,0.88279,1.31699,0.85651,0.77143,0.85905,0.56559,1.15772,0.90997,1.45035,0.000973861,0.000973861,0.000973861
44,711.227,0.9132,0.86029,1.31037,0.83949,0.78326,0.85825,0.56605,1.13865,0.92541,1.46467,0.000957358,0.000957358,0.000957358
45,727.381,0.91339,0.86696,1.30763,0.84168,0.76086,0.83821,0.55059,1.12829,0.91009,1.4492,0.000940855,0.000940855,0.000940855
