epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0121,1.76356,4.24729,1.77378,0.18494,0.24316,0.12191,0.03626,2.36598,8.07472,2.77775,0.0006,0.0006,0.0006
2,93.4115,1.8758,2.14398,1.81031,1e-05,0.00098,0,0,nan,nan,nan,0.00120792,0.00120792,0.00120792
3,137.212,2.04706,2.2081,1.93143,0,0,0,0,nan,nan,nan,0.00180357,0.00180357,0.00180357
4,180.285,2.00073,2.13135,1.8981,0,0,0,0,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,223.898,1.93207,2.04412,1.82032,0.0163,0.03729,0.00407,0.00136,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,267.648,1.89787,1.93243,1.76711,0.11005,0.06771,0.02488,0.00728,3.25756,4.58413,3.52523,0.001901,0.001901,0.001901
7,312.697,1.84879,1.87483,1.72895,0.358,0.34053,0.27915,0.11651,2.23922,3.10312,2.13928,0.0018812,0.0018812,0.0018812
8,356.841,1.80665,1.80602,1.69547,0.19817,0.21884,0.11217,0.03331,2.6433,3.76183,2.477,0.0018614,0.0018614,0.0018614
9,400.759,1.78824,1.81145,1.69101,0.31416,0.32501,0.23582,0.08367,2.2985,2.91994,2.14204,0.0018416,0.0018416,0.0018416
10,444.653,1.76745,1.71698,1.64252,0.45954,0.46909,0.42328,0.17582,1.95919,2.37821,1.8645,0.0018218,0.0018218,0.0018218
11,490.166,1.79041,1.73936,1.66275,0.45893,0.35329,0.35654,0.13968,2.08813,2.39762,1.92279,0.001802,0.001802,0.001802
12,534.523,1.72665,1.69612,1.65635,0.43932,0.43753,0.42451,0.19335,1.89621,2.24037,1.81593,0.0017822,0.0017822,0.0017822
13,578.376,1.72624,1.68581,1.63923,0.35296,0.26398,0.23525,0.09964,2.20621,3.09049,2.24997,0.0017624,0.0017624,0.0017624
14,622.179,1.70775,1.67582,1.6279,0.34335,0.32679,0.25715,0.10187,2.28475,2.30369,2.1077,0.0017426,0.0017426,0.0017426
15,666.102,1.68056,1.62907,1.60964,0.35673,0.37931,0.30395,0.13919,1.91063,2.51253,1.84805,0.0017228,0.0017228,0.0017228
16,710.83,1.68688,1.65304,1.59755,0.46996,0.41708,0.40795,0.18411,1.86756,2.14979,1.76623,0.001703,0.001703,0.001703
17,754.247,1.66111,1.5797,1.57721,0.5203,0.4053,0.43286,0.19609,1.88002,1.93581,1.78774,0.0016832,0.0016832,0.0016832
18,798.164,1.65797,1.58742,1.57016,0.47852,0.44259,0.42403,0.18039,1.9249,1.93749,1.78722,0.0016634,0.0016634,0.0016634
19,841.711,1.64182,1.62092,1.56994,0.47831,0.46516,0.43469,0.19101,1.91657,1.98307,1.79593,0.0016436,0.0016436,0.0016436
20,885.49,1.65496,1.54269,1.55788,0.43915,0.43376,0.40236,0.16393,1.94617,2.04808,1.81236,0.0016238,0.0016238,0.0016238
21,928.787,1.62159,1.5393,1.54874,0.53519,0.48086,0.47524,0.21688,1.85097,1.72336,1.71598,0.001604,0.001604,0.001604
22,972.167,1.63021,1.51739,1.55485,0.53094,0.48479,0.49309,0.20979,1.89966,1.70617,1.74886,0.0015842,0.0015842,0.0015842
23,1015.91,1.61252,1.4793,1.52419,0.55192,0.49166,0.46959,0.21122,1.8712,1.89893,1.762,0.0015644,0.0015644,0.0015644
24,1059.56,1.62027,1.52543,1.54763,0.56078,0.53753,0.55508,0.25965,1.81474,1.67941,1.70363,0.0015446,0.0015446,0.0015446
25,1103.39,1.57474,1.43877,1.51528,0.5488,0.53386,0.53855,0.24796,1.85957,1.68504,1.73823,0.0015248,0.0015248,0.0015248
