epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.324,1.28711,2.42181,1.62506,0.30904,0.47854,0.2853,0.10284,2.04178,4.32427,2.83734,0.000542437,0.000542437,0.000542437
2,428.953,1.33596,1.52125,1.63269,0.08271,0.06144,0.01426,0.00368,3.46019,12.0183,4.12672,0.00108723,0.00108723,0.00108723
3,640.781,1.41512,1.57548,1.69044,0.05372,0.13146,0.02703,0.00777,3.3853,20.9369,5.66793,0.00162103,0.00162103,0.00162103
4,856.414,1.39476,1.56054,1.68557,0.11075,0.23285,0.06777,0.02264,2.56025,10.8304,3.25787,0.00161749,0.00161749,0.00161749
5,1067.04,1.35437,1.51691,1.6466,0.26743,0.48834,0.26336,0.10113,2.07076,4.90406,2.60331,0.00160099,0.00160099,0.00160099
6,1275.62,1.30541,1.43775,1.61244,0.20201,0.25608,0.14633,0.05176,2.64058,3.21227,2.81334,0.00158448,0.00158448,0.00158448
7,1486,1.26496,1.37732,1.58012,0.53288,0.51958,0.48488,0.22272,1.75219,2.44988,2.12154,0.00156798,0.00156798,0.00156798
8,1697.99,1.25928,1.35903,1.57701,0.5705,0.55265,0.5399,0.25315,1.81524,1.71772,2.09028,0.00155148,0.00155148,0.00155148
9,1913.06,1.21457,1.31337,1.54336,0.58964,0.54323,0.56494,0.29679,1.67611,2.10972,2.06134,0.00153497,0.00153497,0.00153497
10,2124.05,1.18757,1.25728,1.51365,0.53951,0.54106,0.51497,0.24754,1.80613,2.2921,2.25995,0.00151847,0.00151847,0.00151847
11,2335,1.1637,1.22219,1.515,0.68365,0.5993,0.64321,0.36163,1.44738,1.61005,1.81692,0.00150197,0.00150197,0.00150197
12,2548.47,1.17104,1.23845,1.51553,0.63751,0.60587,0.60903,0.30132,1.66226,1.60174,1.92087,0.00148546,0.00148546,0.00148546
13,2760.47,1.14111,1.18907,1.47657,0.64785,0.68806,0.65861,0.3628,1.46328,1.54032,1.82726,0.00146896,0.00146896,0.00146896
14,2973.43,1.14613,1.19244,1.47096,0.72566,0.66785,0.70821,0.39657,1.3945,1.46464,1.697,0.00145246,0.00145246,0.00145246
15,3183.31,1.12908,1.17585,1.47864,0.75993,0.68346,0.74126,0.42534,1.40182,1.32547,1.72152,0.00143595,0.00143595,0.00143595
16,3393.64,1.09612,1.15267,1.46386,0.76385,0.66175,0.70435,0.3935,1.44345,1.3814,1.78772,0.00141945,0.00141945,0.00141945
17,3602.88,1.11449,1.1442,1.46353,0.67776,0.60163,0.64608,0.33886,1.51833,1.60057,1.77849,0.00140295,0.00140295,0.00140295
18,3812.45,1.08447,1.12738,1.44661,0.63281,0.60857,0.63731,0.35887,1.40278,1.52909,1.67946,0.00138644,0.00138644,0.00138644
